movie_id;movie_slug;title;production_year;release_year;genre;duration_min;coproduction_country;status;director;screenplay_author;production_company;short_synopsis;synopsis_source;approx_budget;original_language
MOV-0081;DO-2022-orgullo-de-quisqueya;Orgullo De Quisqueya;2022;2023;documentary;90;DO;released;Francisco Alberto Rodríguez;;Orgullo De Quisqueya, SRL;Historias de destacadas personalidades dominicanas en Estados Unidos, Canadá, España, Colombia y Egipto.;imdb;49006199;spanish
MOV-0082;DO-2021-para-toda-la-vida;Para Toda La Vida;2021;;comedy;90;MX;unknown;René Bueno;;Dare Films, SRL;;pending;85356747.1;spanish
MOV-0083;DO-2020-paraiso-para-dos;Paraíso Para Dos;2020;;romance;78;DO;in_festivals;José Enrique Pintor Carretero;;Producciones Amaru, SRL;;pending;47822260;spanish
MOV-0084;DO-2021-pepe-imaginacion-tercer-cine;Pepe: La Imaginación En El Tercer Cine;2021;2025;drama|fantasy;90;NAM|FR|DE;released;Nelson Carlos De Los Santos Arias;;Lopasa Comercial, SRL;Una voz que dice ser de un hipopótamo. Una voz que no comprende la noción del tiempo. Pepe, el primer y último hipopótamo asesinado en América, cuenta su historia con la abrumadora oralidad propia de estos pueblos.;imdb;55949600;spanish
MOV-0085;DO-2021-ramona;Ramona;2021;2023;documentary;97;DO;released;Victoria Linares Villegas;;Sky Films, SRL;Sintiéndose poco preparada para su papel de adolescente embarazada de las afueras de Santo Domingo, la actriz Camila decide sentarse con jóvenes embarazadas para inspirarse. Sin embargo, Ramona se adentra inesperadamente en un terreno desconocido cuando las adolescentes pasan a ocupar el centro del escenario.;filmaffinity;40041279;spanish
MOV-0086;DO-2021-renacer;Renacer;2021;2023;documentary;70;DO;released;Francisco Alberto Rodríguez;;Imbexford Global Group, SRL;La historia del nadador paralímpico dominicano Patricio López.;imdb;29402154.88;spanish
MOV-0087;DO-2021-republica-de-la-pelota-vol-i;República De La Pelota Vol I;2021;;documentary;90;DO;unknown;José María Cabral González;;High Score Media, SRL;;pending;43917010;spanish
MOV-0088;DO-2021-republica-de-la-pelota-vol-ii;Republica De La Pelota Vol II;2021;;documentary;90;DO;unknown;José María Cabral González;;High Score Media, SRL;;pending;43927063;spanish
MOV-0089;DO-2020-santo-domingo-desde-el-aire;Santo Domingo Desde El Aire;2020;;documentary;72;MX;unknown;Jeison Jesús Blanco Morán;;Estándarf Films, SRL;;pending;14470607.18;spanish
MOV-0090;DO-2021-seropositivo;Seropositivo;2021;2023;drama;90;DO;released;Bruno Musso;;Panorámica Films, SRL;En la década de los 90, dos dominicanos de éxito que viven en Buenos Aires enfrentan el rechazo, los prejuicios y el desconocimiento por ser seropositivos;filmaffinity;81843866.3;spanish
MOV-0091;DO-2019-the-facility;The Facility;2019;;drama;113;DO;unknown;Félix Ricardo Limardo Serrano;;Samán Films, SRL;;pending;44682262.72;spanish
MOV-0092;DO-2021-the-one;The One;2021;;documentary;90;DO;unknown;Alex Rodríguez;;The Only One Films;;pending;59957682.12;spanish
MOV-0093;DO-2021-theobroma;Theobroma;2021;;documentary;85;DO;unknown;Héctor Manuel Valdez;;Vezlop Group, SRL;;pending;47661440;spanish
MOV-0094;DO-2022-tragico-final;Trágico Final;2022;;drama;95;DO;unknown;Francisco Alberto Rodríguez;;Jacagua Films, SRL;;pending;61056000;spanish
MOV-0095;DO-2022-un-novio-para-mama;Un Novio Para Mama;2022;2023;comedy;90;DO;released;Roberto Ángel Salcedo Sanz;;Miraxis Films, SRL;Una madre divorciada con tres hijas asume su rol con más rectitud de la cuenta, llevando una vida muy monótona solo concentrada en sus hijas y en su trabajo. Su actitud inflexible, poco divertida, hacen que ellas sientan la presión de buscarle una pareja.;filmaffinity;62523015.4;spanish
MOV-0096;DO-2022-una-hermosa-coincidencia;Una Hermosa Coincidencia;2022;;drama;90;DO;unknown;Hans Christians García García;;Hannah Films, SRL;Kathy, una joven florista con el corazón roto, encuentra nuevo amor por coincidencia en Andrés - pero en la vida, nada es una coincidencia.;imdb;60951225.29;spanish
MOV-0097;DO-2018-vals-de-santo-domingo;Vals De Santo Domingo;2018;;documentary;80;DO;in_festivals;Tatiana Fernández Geara;;Cine Carmelita, SRL;Dentro de una clase de ballet, Raymundo, Ángel y Víctor salen a relucir los prejuicios de un país donde la danza es catalogada como una actividad exclusiva para mujeres.;filmaffinity;5995797.37;spanish
MOV-0098;DO-2021-vienes-o-voy;Vienes o Voy;2021;2024;comedy;115;ES;released;Jaime Botella;;Lune Films Productions, SRL;;pending;138354502.5;spanish
MOV-0099;DO-2019-yaque-296;Yaque 296;2019;;documentary;100;DO;unreleased;Oliver Ernesto Olivo Batista;;POB Films, SRL;La película cuenta la historia de las personas que viven a lo largo de Yaque del Norte, el río más largo e importante de República Dominicana, y cómo esa corriente de agua juega un papel esencial en sus vidas.;imdb;42596792;spanish
MOV-0100;DO-2018-a-tiro-limpio;A Tiro Limpio;2018;2025;action;90;DO;released;Jean Gabriel Guerra Vega;;Producciones ATL, SRL;Un ladrón profesional busca venganza personal. El capitán que va tras él busca cumplir una deuda moral. Ambos buscan justicia.;filmaffinity;96563397;spanish
MOV-0101;DO-2022-asalto-en-progreso;Asalto En Progreso;2022;2024;thriller;93;DO;released;Josell Agapitohernández;;Asalto En Progreso, SRL;Abrumado por las deudas y los problemas familiares, un dentista intenta robar una oficina bancaria, manteniendo a la sociedad dominicana en vilo durante 14 horas.;imdb;74996668.51;spanish
MOV-0102;DO-2022-asi-ganamos;Así Ganamos;2022;;documentary;90;DO;unknown;Violeta Marie Lockhart Guerrero;;Minervas Producciones, SRL;;pending;38759027.34;spanish
MOV-0103;DO-2023-bienvenidos-al-paraiso;Bienvenidos Al Paraíso;2023;2024;comedy;85;DO;released;Ana María Alva;;Godraniss Group, SRL;Un chocolatero y su pareja planean una boda caribeña extravagante. Sin embargo, los celos ponen a prueba su relación durante las vacaciones, llevando a consecuencias desastrosas.;imdb;86496192;spanish
MOV-0104;DO-2022-colao-2;Colao 2;2022;2023;comedy|romance;90;DO;released;Francisco Ernesto Perozo Balbuena;;Nayam Films, SRL;Después de seis años, Antonio y Laura se enfrentan a una crisis en su relación.;imdb;89995000;spanish
