resolution_id,resolution_number,year,file_id,movie_id,pur_number,cpnd_number,incentive_article,resolution_type,investor_name,investor_rnc,local_company,producer_rnc,foreign_producer,film_title,request_date,resolution_date,validated_expenses_dop,tax_credit_dop,tax_credit_pct,total_budget_approved,total_budget_executed,extraction_confidence,needs_review,review_reasons,manually_reviewed,manual_note,source_file
21,CIPAC-2013-007,2013,,,027,,art_39,approved,,,"FILM002, INC.",1-30-89380-2,,CABIN FEVER: PATIENT ZERO,2013-01-02,2013-02-01,51121010.75,12780252.69,25.0,56135105.82,51121010.75,1.0,0,,0,,resolucion-cipac-no-2013-007_validacion-de-gastos-credito-fiscal-transferible-films-cabin-fever-patient-zero.pdf
22,CIPAC-2013-009,2013,,,029,016,art_34,approved,"MERCASID, S.A.",1-01-80768-7,"INVESTCODE, S.R.L.","BONTER MEDIA, S.R.L.",,@ARROBÁ,2013-01-29,2013-02-21,18785275.0,18785275.0,100.0,37571540.34,37571540.34,0.8,0,,1,investor_rnc|set_manual|null|1-01-80768-7|Azure did not find RNC|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|37571540.34|Amount sourced from CPND No. 016 @Arrobá not present in resolution PDF|CPND certificate No. 016|2026-08-12|JDP,resolucion-cipac-no-2013-009_validacion-de-inversion-mercasid-investicode-arroba.pdf
23,CIPAC-2013-010,2013,,,029,016,art_34,approved,"FERTILIZANTES QUÍMICOS DOMINICANOS, S.A.",1-01-00990-1,"INVESTCODE, S.R.L.","BONTER MEDIA, S.R.L.",,@ARROBÁ,2013-01-29,2013-02-21,18785275.0,18785275.0,100.0,37571540.34,37571540.34,0.8,0,,1,producer_rnc|set_manual|null|1-30-94031-2|Azure did not find RNC|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|37571540.34|Amount sourced from CPND No. 016 @Arrobá not present in resolution PDF|CPND certificate No. 016|2026-08-12|JDP,resolucion-cipac-no-2013-010_validacion-de-inversion-fertilizantes-quimicos-dominicanos-investicode-arroba.pdf
24,CIPAC-2013-011,2013,,,036,020,art_34,approved,"BODY SHOP ATHLETIC CLUB, S.R.L.",1-01-63758-7,"SUJETO 10, S.R.L.",1-30-94395-8,,SUJETO NO. 10,2013-01-18,2013-02-21,5650849.85,5650849.85,100.0,23909050.0,5650849.85,0.8,0,,1,investor_rnc|set_manual|null|1-01-63758-7|Azure did not find RNC|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|23909050.00|Amount sourced from CPND No. 020 Sujeto No. 10 not present in resolution PDF|CPND certificate No. 020|2026-08-12|JDP,resolucion-cipac-no-2013-011_validacion-de-inversion-body-shop-athetic-suejto-10-sujeto10.pdf
25,CIPAC-2013-012,2013,,,022,011,art_34,approved,"ALTICE DOMINICANA, S.A.",1-01-61678-7,"CELINES TORIBIO ENTERPRISES, S.R.L.",1-30-86198-6,,MARIA MONTEZ,2013-02-06,2013-02-21,10000000.0,10000000.0,100.0,63306571.0,17646444.0,0.8,0,,1,investor_rnc|set_manual|null|1-01-61678-7|Azure did not find RNC|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|63306571.00|Amount sourced from CPND No. 011 Maria Montez not present in resolution PDF|CPND certificate No. 011|2026-08-12|JDP,resolucion-cipac-no-2013-012_validacion-de-inversion-orange-dominicana-celines-toribio-maria-montez.pdf
26,CIPAC-2013-014,2013,,,023,012,art_34,approved,"PLATER INVESTMENT, S.A.",1-30-53953-7,"AMADO PRODUCTIONS, S.R.L.",1-30-91349-8,,EL INFERNO Y LA GLORIA,2013-02-11,2013-02-21,6000000.0,6000000.0,100.0,64816109.0,60912761.62,0.8,0,,1,producer_rnc|set_manual|null|1-30-91349-8|OCR read 1-30-913498 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|64816109.00|Amount sourced from CPND No. 012 El Infierno Y La Gloria not present in resolution PDF|CPND certificate No. 012|2026-08-12|JDP,resolucion-cipac-no-2013-014_validacion-de-inversion-planet-investment-amado-produccions-el-infierno-y-la-gloria.pdf
27,CIPAC-2013-015,2013,,,023,012,art_34,approved,"VIAMAR, S.A.",1-01-01114-9,"AMADO PRODUCTIONS, S.R.L.",1-30-91349-8,,EL INFIERNO Y LA GLORIA,2013-02-11,2013-02-21,21539800.0,21539800.0,100.0,64816109.0,60912761.62,0.8,0,,1,total_budget_approved|set_manual|null|64816109.00|Amount sourced from CPND No. 012 El Infierno Y La Gloria not present in resolution PDF|CPND certificate No. 012|2026-08-12|JDP;;producer_rnc|set_manual|null|1-30-91349-8|OCR read 1-30-913498 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-12|JDP,resolucion-cipac-no-2013-015_validacion-de-inversion-viamar-amado-produccions-el-infierno-y-la-gloria.pdf
28,CIPAC-2013-016,2013,,,015,006,art_34,approved,"FERTILIZANTES QUÍMICOS DOMINICANOS, S.A.",1-01-00990-1,"PRODUCTORA OJODEPEZ, S.R.L.",1-30-83059-2,,UNA ROSA EN EL QUINTO INFIERNO (BIODEGRADABLE),2013-01-30,2013-02-21,1000000.0,1000000.0,100.0,71547324.03,71478030.0,0.9,0,,1,total_budget_approved|set_manual|null|71547324.03|Amount sourced from CPND No. 006 Una Rosa En El Quinto Infierno not present in resolution PDF|CPND certificate No. 006|2026-08-12|JDP,resolucion-cipac-no-2013-016_validacion-de-inversion-fertilizantes-quimicos-dominicanos-ojodepez-una-rosa-en-el-quinto-infiernobiodegradable.pdf
29,CIPAC-2013-017,2013,,,015,006,art_34,approved,"SANTO DOMINGO MOTORS COMPANY, S.A.",1-01-00806-7,"PRODUCTORA OJODEPEZ, S.R.L.",1-30-83059-2,,UNA ROSA EN EL QUINTO INFIERNO (BIODEGRADABLE),2013-01-30,2013-02-21,5000000.0,5000000.0,100.0,71547324.03,71478030.0,0.9,0,,1,total_budget_approved|set_manual|null|71547324.03|Amount sourced from CPND No. 006 Una Rosa En El Quinto Infierno not present in resolution PDF|CPND certificate No. 006|2026-08-12|JDP,resolucion-cipac-no-2013-017_validacion-de-inversion-santo-domingo-motors-company-ojodepez-una-rosa-en-el-quinto-infiernobiodegradable.pdf
30,CIPAC-2013-018,2013,,,015,006,art_34,approved,"PARALLAX VALORES PUESTO DE BOLSA, S.A.",1-01-56714-7,"PRODUCTORA OJODEPEZ, S.R.L.",1-30-83059-2,,UNA ROSA EN EL QUINTO INFIERNO,2013-01-30,2013-02-21,6000000.0,6000000.0,100.0,71547324.03,71478030.0,0.9,0,,1,total_budget_approved|set_manual|null|71547324.03|Amount sourced from CPND No. 006 Una Rosa En El Quinto Infierno not present in resolution PDF|CPND certificate No. 006|2026-08-12|JDP,resolucion-cipac-no-2013-018_validacion-de-inversion-parallax-valores-puesto-de-bolsa-ojodepez-una-rosa-en-el-quinto-infiernobiodegradable.pdf
31,CIPAC-2013-019,2013,,,015,006,art_34,approved,"LOTERÍA ELECTRÓNICA INTERNACIONAL DOMINICANA, S.A.",1-01-70527-2,"PRODUCTORA OJODEPEZ, S.R.L.",1-30-83059-2,,UNA ROSA EN EL QUINTO INFIERNO (BIODEGRADABLE),2013-01-30,2013-02-21,15000000.0,15000000.0,100.0,71547324.03,71478030.0,0.8,0,,1,total_budget_executed|set_manual|null|71478030.0|Propagated from sibling resolution CIPAC-2013-016 with same film title|cipac_2013_results.json|2026-08-12|JDP;;total_budget_approved|set_manual|null|71547324.03|Amount sourced from CPND No. 006 Una Rosa En El Quinto Infierno not present in resolution PDF|CPND certificate No. 006|2026-08-12|JDP,resolucion-cipac-no-2013-019_validacion-de-inversion-loteria-electronica-internacional-dominicana-ojodepez-una-rosa-en-el-quinto-infiernobiodegradable.pdf
32,CIPAC-2013-020,2013,,,015,006,art_34,approved,"MAGNA MOTORS, S.A.",1-01-05557-1,"PRODUCTORA OJODEPEZ, S.R.L.",1-30-83059-2,,UNA ROSA EN EL QUINTO INFERNO (BIODEGRADABLE),2013-01-30,2013-02-21,10000000.0,10000000.0,100.0,71547324.03,71478030.0,0.9,0,,1,total_budget_approved|set_manual|null|71547324.03|Amount sourced from CPND No. 006 Una Rosa En El Quinto Infierno not present in resolution PDF|CPND certificate No. 006|2026-08-12|JDP,resolucion-cipac-no-2013-020_validacion-de-inversion-magna-motors-ojodepez-una-rosa-en-el-quinto-infiernobiodegradable.pdf
33,CIPAC-2013-021,2013,,,015,006,art_34,approved,"COMPAÑÍA DOMINICANA DE MONTAJE CODEMON, S.A.",1-01-59341-5,"PRODUCTORA OJODEPEZ, S.R.L.",1-30-83059-2,,UNA ROSA EN EL QUINTO INFIERNO (BIODEGRADABLE),2013-01-30,2013-02-21,8000000.0,8000000.0,100.0,71547324.03,71478030.0,0.8,0,,1,investor_rnc|set_manual|null|1-01-59341-5|OCR read 1-01593415 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|71547324.03|Amount sourced from CPND No. 006 Una Rosa En El Quinto Infierno not present in resolution PDF|CPND certificate No. 006|2026-08-12|JDP,resolucion-cipac-no-2013-021_validacion-de-inversion-compania-dominicana-de-montaje-ojodepez-una-rosa-en-el-quinto-infiernobiodegradable.pdf
34,CIPAC-2013-022,2013,,,015,006,art_34,approved,"GRUPO RAMOS, S.A.",1-01-79682-2,"PRODUCTORA OJODEPEZ, S.R.L.",1-30-83059-2,,UNA ROSA EN EL QUINTO INFIERNO (BIODEGRADABLE),2013-01-30,2013-02-21,15000000.0,15000000.0,100.0,71547324.03,71478030.0,0.8,0,,1,investor_rnc|set_manual|null|1-01-79682-2|OCR read 1--01-79682-2 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|71547324.03|Amount sourced from CPND No. 006 Una Rosa En El Quinto Infierno not present in resolution PDF|CPND certificate No. 006|2026-08-12|JDP,resolucion-cipac-no-2013-022_validacion-de-inversion-grupo-ramos-ojodepez-una-rosa-en-el-quinto-infiernobiodegradable.pdf
35,CIPAC-2013-023,2013,,,015,006,art_34,approved,"INDUSPALMA DOMINICANA, S.A.",1-01-09980-1,"PRODUCTORA OJODEPEZ, S.R.L.",1-30-83059-2,,UNA ROSA EN EL QUINTO INFIERNO (BIODEGRADABLE),2013-01-30,2013-02-21,7000000.0,7000000.0,100.0,71547324.03,71478030.0,0.9,0,,1,total_budget_approved|set_manual|null|71547324.03|Amount sourced from CPND No. 006 Una Rosa En El Quinto Infierno not present in resolution PDF|CPND certificate No. 006|2026-08-12|JDP,resolucion-cipac-no-2013-023_validacion-de-inversion-induspalma-dominicana-ojodepez-una-rosa-en-el-quinto-infiernobiodegradable.pdf
36,CIPAC-2013-024,2013,,,015,006,art_34,approved,"CONTRATISTAS CIVILES Y MECÁNICOS, S.A.",1-01-67181-5,"PRODUCTORA OJODEPEZ, S.R.L.",1-30-83059-2,,UNA ROSA EN EL QUINTO INFIERNO (BIODEGRADABLE),2013-01-30,2013-02-21,4000000.0,4000000.0,100.0,71547324.03,71478030.0,0.9,0,,1,total_budget_approved|set_manual|null|71547324.03|Amount sourced from CPND No. 006 Una Rosa En El Quinto Infierno not present in resolution PDF|CPND certificate No. 006|2026-08-12|JDP,resolucion-cipac-no-2013-024_validacion-de-inversion-contratistas-civiles-y-mecanicos-ojodepez-una-rosa-en-el-quinto-infiernobiodegradable.pdf
